audio_id,file_name,category,resolved_path,duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std
audio_0563,audio_0563.mp3,whisper,..\..\data\raw\audio\audio_0563.mp3,15.923083900226757,0.0054190512746572495,0.0054001519456505775,0.22890639235604957,0.16106435234842295,3190.2007440790962,1876.5024688930614,2194.244604728788,1027.68936086043,5618.015834263393,2992.1672915902723
audio_0564,audio_0564.mp3,whisper,..\..\data\raw\audio\audio_0564.mp3,22.153877551020408,0.010070658288896084,0.010896895080804825,0.3774122627617801,0.15216520509018044,4482.678583448482,1664.2652899934901,2409.290705467749,664.8324490941145,7153.995239896924,2219.424518040245
audio_0565,audio_0565.mp3,whisper,..\..\data\raw\audio\audio_0565.mp3,20.307709750566893,0.0073452601209282875,0.007990730926394463,0.3121880580357143,0.1454293853604229,3872.247305246302,1659.1249297580403,2396.2100770027064,774.4485407158264,6546.4259765625,2455.9727615306324
audio_0566,audio_0566.mp3,whisper,..\..\data\raw\audio\audio_0566.mp3,18.23079365079365,0.004930934403091669,0.005386182107031345,0.2620219068066158,0.15059824347426737,3429.5518938216064,1608.0012328368884,2360.6559850045614,819.311957392734,6053.665557162452,2492.1006671319255
audio_0567,audio_0567.mp3,whisper,..\..\data\raw\audio\audio_0567.mp3,17.076916099773243,0.004405288025736809,0.00506361061707139,0.2713165283203125,0.14145211224850926,3537.189735276371,1511.2251489712191,2427.2383676273444,711.5882862044236,6248.915066926375,2285.9535619655367
audio_0568,audio_0568.mp3,whisper,..\..\data\raw\audio\audio_0568.mp3,15.0,0.004811915103346109,0.0051277680322527885,0.22684216573142416,0.15906365659674704,3186.8929526038833,1933.9074173172644,2182.95323149125,1053.3610731682434,5641.582552788796,3085.9688455291057
audio_0569,audio_0569.mp3,whisper,..\..\data\raw\audio\audio_0569.mp3,13.615374149659864,0.00513598183169961,0.006663376931101084,0.292857285455707,0.16619280630766606,3690.6479690592005,1791.9033843814473,2355.8304778370857,842.5417438449638,6353.523818475831,2593.2162990280067
audio_0570,audio_0570.mp3,whisper,..\..\data\raw\audio\audio_0570.mp3,19.384625850340136,0.011148170568048954,0.01093239150941372,0.36389701066616764,0.1794524722431638,4479.960730959809,2005.7459859967762,2266.18106152008,884.5093886112463,7039.32014876497,2818.5602202361783
audio_0571,audio_0571.mp3,whisper,..\..\data\raw\audio\audio_0571.mp3,10.153877551020408,0.006593030411750078,0.006924320477992296,0.2713963060074201,0.18810274441936167,3559.6561746744324,2175.85603010234,2156.8911518288955,1082.0640132538344,5999.3322921125855,3264.5096908607497
audio_0572,audio_0572.mp3,whisper,..\..\data\raw\audio\audio_0572.mp3,26.468480725623582,0.006088735070079565,0.008745569735765457,0.09532749109100877,0.07828233412878598,2249.563862332225,727.9550754675718,2527.84567960263,286.06283245597007,5034.9539987664475,1268.9544681503635
